sample,h2_concentration,alarm,humidity,pressure_P1_mean,pressure_P1_std,pressure_P1_min,pressure_P1_max,pressure_Trigger_mean,pressure_Trigger_std,pressure_Trigger_min,pressure_Trigger_max,CH1_CH1_mean,CH1_CH1_std,CH1_CH1_min,CH1_CH1_max,CH2_mfr_CH2_mfr_gs_mean,CH2_mfr_CH2_mfr_gs_std,CH2_mfr_CH2_mfr_gs_min,CH2_mfr_CH2_mfr_gs_max,CH3_pressure_CH3_pressure_bar_mean,CH3_pressure_CH3_pressure_bar_std,CH3_pressure_CH3_pressure_bar_min,CH3_pressure_CH3_pressure_bar_max
10,4.538,0,40.0,0.0133304215,1.2838247066870133e-05,0.0132842,0.0133635,1.0,0.0,1,1,0.048525921,0.003119464391006732,0.038411,0.057161,4.7687634124999985,0.2817879054867694,4.041343749999999,5.499675,29.693952499999998,2.0428093455922562,24.812812500000003,36.92218749999999
11,3.958,0,40.0,0.0133325808,1.1339498726134237e-05,0.0133037,0.01337,1.0,0.0,1,1,0.048611329999999994,0.0031007646948938254,0.040495,0.057161,4.764935437499999,0.2923591181538541,4.0153,5.499675,29.6787185,2.053938823771734,23.380562499999993,36.92218749999999
12,4.024,0,39.7,0.0133319646,1.377959748468728e-05,0.0132972,0.0133726,1.0,0.0,1,1,0.048663405,0.003041086285026289,0.040495,0.057161,4.7366542,0.2848820159331326,3.9892562500000004,5.499675,29.510489312500003,2.003559154838349,24.161812500000003,36.1409375
13,4.065,0,39.7,0.013329255400000002,1.0760438227135514e-05,0.0132998,0.0133622,1.0,0.0,1,1,0.048648841000000005,0.0031668419994876594,0.040495,0.057161,4.7289718562499985,0.29270293652745705,3.8850937500000002,5.499675,29.526375875,2.0845367105953176,24.161812500000003,35.8805625
14,4.524,0,39.5,0.013331076700000001,1.2061136227984475e-05,0.0132816,0.01337,1.0,0.0,1,1,0.048767608000000004,0.0031610351422178148,0.040495,0.057161,4.724753162499999,0.2894094058400149,3.9892562500000004,5.42155,29.464656437499997,2.0694233376508606,23.510749999999998,37.70343750000001
15,4.152,0,39.5,0.0133277175,1.1018247762235148e-05,0.0132907,0.0133544,1.0,0.0,1,1,0.048811346,0.0031759494130549366,0.040495,0.057161,4.725951018749999,0.2896454843669369,3.96321875,5.44759375,29.280151125,2.023370606590488,23.250312499999996,36.53156250000001
16,4.833,0,39.2,0.013326811400000001,1.2070464367206462e-05,0.0132907,0.0133583,1.0,0.0,1,1,0.048811334000000005,0.0031526342773058845,0.042578,0.057161,4.689570824999999,0.2871160140662177,3.96321875,5.42155,29.283014750000003,2.0177146546204043,24.291999999999994,36.010749999999994
17,5.133,0,39.2,0.0133062077,1.7980083723664927e-05,0.0132673,0.0133557,1.0,0.0,1,1,0.048692611,0.0031600963263291515,0.040495,0.057161,4.661628062499998,0.2887365208393326,3.8850937500000002,5.42155,29.129629374999997,2.059636841135755,23.250312499999996,35.8805625
18,5.719,0,39.1,0.0133190842,1.7389435021299598e-05,0.0132738,0.0133661,1.0,0.0,1,1,0.048730105,0.0030596021414515647,0.040495,0.057161,4.656341624999999,0.2897029285690774,3.85905,5.44759375,29.0909588125,2.047102051346686,24.422187499999996,36.010749999999994
19,5.867,0,39.1,0.013338239699999999,1.1791454274600754e-05,0.0133011,0.0133713,1.0,0.0,1,1,0.04871135,0.003107521757526405,0.040495,0.057161,4.634075987499998,0.2828104167668464,3.7809250000000003,5.343425,28.98913525,1.9652683639990656,23.380562499999993,35.3596875
20,4.982,0,38.9,0.013350643,1.201117691985263e-05,0.0133167,0.0133869,1.0,0.0,1,1,0.048657172000000005,0.003191868547483746,0.042578,0.057161,4.625247937499999,0.29100778476694544,3.937175,5.4736312499999995,28.9465571875,2.020490868026968,23.120125000000005,36.53156250000001
21,5.312,0,38.9,0.0133492026,1.1307907553566226e-05,0.0133167,0.013383,1.0,0.0,1,1,0.048592571,0.003141810066022292,0.040495,0.057161,4.621862487499999,0.2881892503717715,3.85905,5.291343749999999,28.856582999999997,2.102930818679032,23.250312499999996,36.79200000000001
22,5.382,0,38.7,0.013350633800000001,1.2977186812248614e-05,0.0133141,0.0133933,1.0,0.0,1,1,0.04870508,0.0030925707001780893,0.040495,0.057161,4.617122862499999,0.2821863473750709,3.9892562500000004,5.343425,28.75423975,2.0015064224102868,22.859687500000003,36.401375
23,4.758,0,38.7,0.013355353799999999,1.0911522605026312e-05,0.0133258,0.0133959,1.0,0.0,1,1,0.0486655,0.0031180203299529656,0.040495,0.057161,4.595846849999999,0.2924737251696445,3.8069687500000002,5.44759375,28.704108875,2.0179927605767034,22.859687500000003,34.7086875
24,4.698,0,38.6,0.0133629705,1.1096740050573355e-05,0.0133297,0.0133959,1.0,0.0,1,1,0.04874676600000001,0.003144043267075693,0.040495,0.057161,4.579544793749999,0.2924632246122412,3.7028000000000008,5.291343749999999,28.6637443125,2.048390232672353,23.510749999999998,35.229499999999994
25,5.527,0,38.6,0.013354156899999999,1.1494972483220622e-05,0.0133128,0.0133908,1.0,0.0,1,1,0.048607174999999996,0.003061006146085793,0.040495,0.057161,4.57556043125,0.2849270352407294,3.83300625,5.265300000000001,28.594083625,2.0215881664410182,23.250312499999996,35.229499999999994
26,5.809,0,38.5,0.0133521601,9.467202226106702e-06,0.0133245,0.0133856,1.0,0.0,1,1,0.048694668999999996,0.003218026808688672,0.040495,0.057161,4.558477024999999,0.29636037066046594,3.6767562500000004,5.343425,28.429629875,2.0480549707454108,22.989937500000003,35.620125
27,5.143,0,38.5,0.5073451944,1.4696297354464456,0.0122551,4.95449,1.0,0.0,1,1,0.048686322000000004,0.003120421256547904,0.042578,0.055078,4.571966562499999,0.2865300879500853,3.83300625,5.265300000000001,28.38614,2.012806555565279,22.989937500000003,35.75031250000001
28,5.159,0,38.4,0.013329165700000001,1.1952514108337206e-05,0.0132907,0.0133583,1.0,0.0,1,1,0.048765512000000004,0.0031424131831851772,0.040495,0.055078,4.54722709375,0.28558648629856137,3.85905,5.23925625,28.31895325,1.9320292883456438,22.729499999999998,35.489937499999996
29,5.328,0,38.4,0.0133191791,1.2421930332681774e-05,0.0132829,0.0133583,1.0,0.0,1,1,0.048767584999999995,0.0031458924013346356,0.040495,0.057161,4.542956275,0.2884371292436663,3.83300625,5.291343749999999,28.277286500000002,2.0690201675541675,21.8180625,35.3596875
30,5.355,0,38.3,0.013317011999999998,1.2275772725168867e-05,0.0132855,0.013357,1.0,0.0,1,1,0.048590513,0.003048406688719699,0.040495,0.055078,4.538216606249999,0.28604325976503253,3.7809250000000003,5.291343749999999,28.2024158125,1.997689949237258,22.469062499999996,36.92218749999999
31,5.506,0,38.3,0.0133233404,1.0944605421850496e-05,0.0132868,0.0133531,1.0,0.0,1,1,0.048646757,0.003202811647592003,0.040495,0.057161,4.524883374999999,0.2951261777491589,3.83300625,5.23925625,28.1067130625,2.0082357230093226,22.338874999999994,35.75031250000001
32,6.132,0,38.3,0.0133152726,1.0498527955861224e-05,0.0132803,0.0133479,1.0,0.0,1,1,0.048717582,0.003108442742479906,0.040495,0.057161,4.4930864874999985,0.2838668372397905,3.8069687500000002,5.291343749999999,28.142781812499997,2.0104201924810696,23.380562499999993,35.099312499999996
